"Succinate"	"Lactate"	"Formate"	"Acetate"	"Propionate"	"Isobutyrate"	"ETOH"	"Butyrate"	"iVal.2MB"	"Valerate"	"Caproate"	"VFA_total_mM"	"branch_mM"	"Acetate_mF"	"Propionate_mF"	"Butyrate_mF"	"Valerate_mF"	"branch_mF"
"Otu0015"	-0.331885523381782	-0.424663828675545	0.0739721661816923	0.0364046562240398	-0.271964196497239	0.156325876726759	-0.510407946653677	-0.173457479655719	0.216286486978119	-0.580333049218517	-0.641645346976918	0.160608777458999	0.387602516267718	0.263398395032759	-0.289095799426198	-0.134911373065559	-0.584615949950757	0.357622211142038
"Otu0016"	-0.373899298133621	-0.433024760000627	-0.138811059569105	0.343804820190126	0.0580449696424888	0.330409827195706	-0.508973885086718	0.102694946290557	0.437569771151069	-0.339339822525319	-0.639842555821822	0.191994899586694	0.357199813184547	0.290224848212444	-0.312549836536478	-0.0982299486257503	-0.442034768815876	0.272364857553217
"Otu0017"	-0.125	-0.100222965717159	-0.0797241005179101	-0.215410109213832	-0.246182981958665	-0.215410109213832	-0.0797241005179101	-0.230796545586249	-0.215410109213832	-0.0923186182344995	0.267261241912424	-0.246182981958665	-0.215410109213832	0.230796545586249	-0.246182981958665	-0.0153864363724166	0.138477927351749	-0.169250800096582
"Otu0018"	-0.28293869659097	-0.350390893069714	0.104521697870444	-0.0156895469690147	-0.302584120116712	0.0918959179613718	-0.464540879424197	-0.212929566008057	0.114309556488536	-0.549134143915515	-0.583984821782857	0.177067744364595	0.34741139717104	0.221895021418922	-0.217412293713489	-0.10534410107767	-0.571547782442679	0.275687753884116
"Otu0019"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0020"	-0.180772950415532	-0.348931578899427	-0.277563690826684	0.524973216335467	0.3321259123755	0.449977042573257	-0.277563690826684	0.385694607919935	0.567828172771015	-0.00535686955444354	-0.348931578899427	0.058925565098879	0.18213356485108	0.149992347524419	-0.139278608415532	-0.058925565098879	-0.241059129949959	0.0964236519799837
"Otu0021"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0022"	-0.325854501460367	-0.227128381289749	0.487817693093347	-0.118287114648391	-0.340377207457614	0.0410383867147477	-0.35022808734907	-0.258300434028118	-0.0603505686981584	-0.350033298449319	-0.440279631423206	0.17139561510277	0.345205252953466	0.156911478615212	-0.147255387623507	-0.021726204731337	-0.499702708820752	0.248644343036413
"Otu0023"	-0.313304179995183	-0.429137079239565	-0.124889469693087	0.255493646027526	-0.0337444438149563	0.279596820181066	-0.47457998483373	0.0337444438149563	0.376009516795227	-0.477242848240096	-0.596605207723298	0.284417455011774	0.462780943747972	0.134977775259825	-0.110874601106285	0.0144619044921241	-0.501346022393636	0.279596820181066
"Otu0024"	-0.116155690606678	-0.0292442669309832	0.334985192062615	0.0888948752773449	0.0808135229794045	0.0323254091917618	0.0279154326718846	0.0969762275752854	0.129301636767047	0.153545693660869	-0.0526396804757697	-0.0242440568938213	0.0808135229794045	-0.0646508183835236	0.0404067614897022	0.105057579873226	-0.0161627045958809	0.202033807448511
"Otu0025"	-0.181433914048024	-0.140082953670131	0.323151120684314	-0.187100668108535	-0.329039105983975	-0.00645174717615636	-0.234005983943814	-0.251618139870098	-0.103227954818502	-0.258069887046255	-0.294174202707276	0.103227954818502	0.264521634222411	0.0322587358807818	0.0516139774092509	-0.0451622302330946	-0.270973381398567	0.238714645517785
"Otu0026"	-0.183427108937795	-0.359204575360974	0.221214599585353	-0.0533669294958838	-0.256161261580242	0.0747137012942374	-0.387125549274368	-0.192120946185182	0.0907237801430025	-0.480302365462955	-0.486664263392288	0.0533669294958838	0.250824568630654	0.266834647479419	-0.202794332084359	-0.149427402588475	-0.480302365462955	0.208131025033947
"Otu0027"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0028"	-0.106055195771314	-0.210558721903079	0.0837462980156539	0.274765978129975	0.250521921236154	0.121220284469107	-0.167492596031308	0.18587110285263	0.17778975055469	0.145464341362928	-0.210558721903079	0.113138932171166	0.0888948752773449	0.0565694660855831	-0.0323254091917618	-0.0161627045958809	-0.0888948752773449	-0.105057579873226
"Otu0029"	-0.259281489420866	-0.0461972619116825	0.0482322948917193	-0.17952381627838	-0.211439161394537	0.0997354534879889	-0.16536786820018	-0.195481488836458	0.035904763255676	-0.00398941813951956	-0.207887678602571	-0.123671962325106	-0.035904763255676	0.243354506510693	-0.243354506510693	-0.251333342789732	0.0837777809299107	-0.0119682544185587
"Otu0030"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0031"	-0.181433914048024	-0.00466943178900438	0.312007978591752	-0.303232117279349	-0.42581531362632	-0.109679701994658	-0.234005983943814	-0.387104830569382	-0.167745426580065	-0.341942600336287	-0.294174202707276	0.135486690699284	0.225811151165473	0.0774209661138764	-0.0322587358807818	-0.0193552415284691	-0.322587358807818	0.0774209661138764
"Otu0032"	-0.084669159889078	-0.177438407982167	-0.0334294262776877	0.0516139774092509	0.07096921893772	-0.0451622302330946	-0.0222862841851251	0.0838727132900327	0.0516139774092509	-0.14193843787544	-0.177438407982167	-0.0645174717615637	-0.0129034943523127	0.0967762076423455	-0.0516139774092509	-0.122583196346971	-0.193552415284691	0.0516139774092509
"Otu0033"	-0.145299145299145	-0.103934927410387	-0.0118109778545052	0.218829317296591	0.0820609939862218	0.150445155641407	-0.212597601381094	0.102576242482777	0.177798820303481	-0.109414658648296	-0.267261241912424	0.218829317296591	0.294051895117295	-0.00683841616551848	0.0888994101517403	0.0547073293241479	-0.253021398124184	0.109414658648296
"Otu0034"	-0.106055195771314	-0.210558721903079	0.0279154326718846	0.226277864342333	0.153545693660869	0.299010035023797	-0.167492596031308	0.193952455150571	0.299010035023797	0.137382989064988	-0.210558721903079	-0.121220284469107	0.0323254091917618	0.202033807448511	-0.242440568938213	-0.145464341362928	-0.0242440568938213	0.0969762275752854
"Otu0035"	-0.174687258287334	-0.239578711874977	0.0381154103169828	-0.0147122471584125	-0.147122471584125	-0.00735612357920625	-0.190577051584914	-0.125054100846506	0	-0.213327583796981	-0.239578711874977	0.183903089480156	0.242752078113806	-0.029424494316825	0.0514928650544437	0.0662051122128562	-0.169190842321744	0.220683707376187
"Otu0036"	-0.179605302026775	-0.144004608221196	0.534571189687069	-0.0221078844142691	-0.0884315376570764	-0.0884315376570764	-0.114550969218658	-0.0663236532428073	-0.12159336427848	-0.0110539422071345	-0.144004608221196	0.110539422071345	0.221078844142691	-0.0331618266214036	0.0773775954499418	0.0552697110356727	-0.265294612971229	0.12159336427848
"Otu0037"	0.0623792891424565	0.0328379335932959	-0.141056127996604	0.117967526404102	0.0635209757560549	0.0816698259720706	-0.141056127996604	0.0725954008640628	0.117967526404102	-0.0816698259720706	-0.177324841403798	0.190562927268165	0.163339651944141	-0.0453721255400392	0.0362977004320314	0.0725954008640628	-0.0725954008640628	-0.0635209757560549
"Otu0038"	-0.179605302026775	-0.144004608221196	-0.114550969218658	0.232132786349825	0.24318672855696	0.0552697110356727	-0.114550969218658	0.12159336427848	0.143701248692749	0.0331618266214036	-0.144004608221196	0.132647306485615	0.0663236532428073	0.0221078844142691	0	0.0221078844142691	-0.0331618266214036	-0.0773775954499418
"Otu0039"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0040"	-0.125	-0.100222965717159	-0.0797241005179101	0.169250800096582	0.138477927351749	0	-0.0797241005179101	0.0769321818620829	0.0769321818620829	-0.0615457454896664	-0.100222965717159	0.215410109213832	0.200023672841416	-0.0769321818620829	0.0615457454896664	0.138477927351749	-0.107705054606916	0.0307728727448332
"Otu0041"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0042"	0.34949547019317	0.373015873015873	-0.113638197945427	0.0603122387046455	0.202868439279262	0.213834300861925	0.179927146746926	0.11514154661796	-0.00548293079133141	0.31252705510589	0.468253968253968	0.11514154661796	0.0493463771219827	-0.257697747192576	0.213834300861925	0.126107408200622	0.31252705510589	-0.126107408200622
"Otu0043"	-0.125	-0.100222965717159	0.39862050258955	0	-0.0461593091172498	-0.0923186182344995	-0.0797241005179101	-0.0307728727448332	-0.107705054606916	0.0615457454896664	-0.100222965717159	0.0923186182344995	0.138477927351749	-0.0461593091172498	0.0923186182344995	0	-0.138477927351749	0.0153864363724166
"Otu0044"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0045"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0047"	0.115384615384615	-0.100222965717159	0.31889640207164	-0.138477927351749	-0.200023672841416	0.0923186182344995	-0.0797241005179101	-0.153864363724166	0	-0.184637236468999	-0.100222965717159	-0.0153864363724166	0.0615457454896664	0.0769321818620829	-0.0923186182344995	0.0461593091172498	-0.246182981958665	0.107705054606916
"Otu0048"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0049"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0051"	0.0769230769230769	0.267261241912424	-0.0797241005179101	-0.169250800096582	-0.215410109213832	-0.107705054606916	-0.0797241005179101	-0.169250800096582	-0.123091490979333	-0.246182981958665	-0.100222965717159	0.153864363724166	0.123091490979333	-0.123091490979333	0.153864363724166	0.0307728727448332	-0.0153864363724166	-0.0461593091172498
"Otu0053"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0054"	0.0769230769230769	0.267261241912424	-0.0797241005179101	-0.169250800096582	-0.215410109213832	-0.107705054606916	-0.0797241005179101	-0.169250800096582	-0.123091490979333	-0.246182981958665	-0.100222965717159	0.153864363724166	0.123091490979333	-0.123091490979333	0.153864363724166	0.0307728727448332	-0.0153864363724166	-0.0461593091172498
"Otu0055"	0.307692307692308	-0.100222965717159	-0.0797241005179101	-0.230796545586249	-0.153864363724166	-0.246182981958665	-0.0797241005179101	-0.184637236468999	-0.246182981958665	-0.107705054606916	0.244989471753056	-0.230796545586249	-0.246182981958665	-0.138477927351749	0.184637236468999	-0.0923186182344995	0.123091490979333	-0.200023672841416
"Otu0056"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0059"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0060"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0062"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0063"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0064"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0065"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0066"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0067"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0068"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0069"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0070"	0.153846153846154	0.244989471753056	0.425195202762187	-0.246182981958665	-0.184637236468999	-0.169250800096582	0.292321701899004	-0.0769321818620829	-0.0307728727448332	0.138477927351749	0.200445931434318	-0.215410109213832	-0.0769321818620829	-0.215410109213832	0.107705054606916	0.246182981958665	0.215410109213832	0.246182981958665
"Otu0072"	0.153846153846154	0.244989471753056	0.425195202762187	-0.246182981958665	-0.184637236468999	-0.169250800096582	0.292321701899004	-0.0769321818620829	-0.0307728727448332	0.138477927351749	0.200445931434318	-0.215410109213832	-0.0769321818620829	-0.215410109213832	0.107705054606916	0.246182981958665	0.215410109213832	0.246182981958665
"Otu0073"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0074"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0075"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0076"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0077"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0081"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0088"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0098"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0103"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0115"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0117"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0120"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0130"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0132"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0134"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0141"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0204"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0223"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
